policy,total_capacity_gb,request_seed,cold_events,served_requests,rejected_requests,service_completion_rate,cold_ratio_per_1k,cold_ratio_per_1k_all_requests,cold_slo_per_1k,prewarm_attempts,total_inits,capacity_evictions,blocked_minutes,mean_total_mem_gb,p95_total_mem_gb,max_total_mem_gb,mean_warm_set_mem_gb,max_warm_set_mem_gb,capacity_violations,mean_latency_s,p95_latency_s,p99_latency_s,slo_violation_rate,cand_k_mean,family,capacity_frac_of_reference,ndays,n_apps,eval_start,protocol_version
Planner-Learned,793.8562952303683,0,8596306,7877253799.0,4416402.0,0.9994396616596012,1.0912820913668266,1.0906706041708432,0.8178777990900684,16374753,24971059,10289238,2681,793.7885943341397,793.8530262056738,793.8562932014465,793.7634737410514,793.8562622070312,0,0.7957199040877961,2.985513856491193,34.61335430466596,0.2342110308883355,11913.265439753955,predictive-learned,0.8,14.0,24274,7200,causal-eviction-eval-window-v2
BALM-JIT (ours),793.8562952303683,0,7658676,7877253798.0,4416403.0,0.9994396615327245,0.9722520305165874,0.971707240304002,0.7008489432448778,16852595,24511271,9306483,2681,793.7851007875943,793.8530045129359,793.8562926724553,793.7455754516589,793.856201171875,0,0.7957197085501989,2.985513856491193,34.61335430466596,0.2341502334811254,11913.265439753955,predictive-online,0.8,14.0,24274,7200,causal-eviction-eval-window-v2
Planner-LRU,793.8562952303683,0,17788608,7877253796.0,4416405.0,0.9994396612789712,2.258224561589332,2.2569591909266946,1.6922794853669838,5201820,22990428,17958244,2681,793.7803052752914,793.8530793923885,793.8562903851271,793.7658543220888,793.856201171875,0,0.7957214321549361,3.1386143822518155,34.61335430466596,0.234782870685209,11913.265439753955,non-predictive,0.8,14.0,24274,7200,causal-eviction-eval-window-v2
Planner-Popularity,793.8562952303683,0,21086156,7877253800.0,4416401.0,0.9994396617864776,2.676841007712612,2.6753410714044668,2.027242793675126,23726970,44813126,24623784,2681,793.7890318866354,793.8529792422429,793.8562949113548,793.785758196904,793.8562622070312,0,0.7957219753859096,3.1386143822518155,34.61335430466596,0.2349579315098633,11913.265439753955,non-predictive,0.8,14.0,24274,7200,causal-eviction-eval-window-v2
Oracle knapsack,793.8562952303683,0,4465580,7877253796.0,4416405.0,0.9994396612789712,0.5668955343634583,0.566577880844776,0.3981519551385544,17804490,22270070,5458894,2681,671.9560608702421,793.8506704816594,793.8562898002565,671.9374408863209,793.8562622070312,0,0.7957192987585481,2.985513856491193,34.61335430466596,0.2340166582146122,4494.712698412698,non-causal-upper-bound,0.8,14.0,24274,7200,causal-eviction-eval-window-v2
TTL-20m,793.8562952303683,0,17781177,7877253795.0,4416406.0,0.9994396611520944,2.257281212811298,2.2560163704571123,1.6905382696254745,2797872,20579049,21603514,2681,793.7813078977742,793.853024228476,793.8562938608229,793.7661051015358,793.8562902361155,0,0.7957214527912396,3.1386143822518155,34.61335430466596,0.2347826621232903,,lease-reference,0.8,14.0,24274,7200,causal-eviction-eval-window-v2
Historic-TTL (ATC'20-style),793.8562952303683,0,18329754,7877253798.0,4416403.0,0.9994396615327245,2.326921852467651,2.325617988643369,1.7487692225300064,2797874,21127628,20265966,2681,793.7813568090253,793.8529839904979,793.8562949188054,768.9740294199299,793.8562902361155,0,0.7957215401395117,3.1386143822518155,34.61335430466596,0.2348093994726071,,lease-reference,0.8,14.0,24274,7200,causal-eviction-eval-window-v2
Planner-Learned,992.3203690379604,0,5447011,7880440023.0,1230178.0,0.9998439191226444,0.6912064534597372,0.6910985693500473,0.5431550760499964,15249398,20696409,6477685,1393,992.2474330982101,992.3157906278968,992.3203603290021,992.233652043906,992.3203125,0,0.7974681657807249,3.1386143822518155,34.61335430466596,0.23413053036479517,11913.265439753955,predictive-learned,1.0,14.0,24274,7200,causal-eviction-eval-window-v2
BALM-JIT (ours),992.3203690379604,0,3733686,7880440023.0,1230178.0,0.9998439191226444,0.4737915635551815,0.473717613752258,0.3652735115804079,16421005,20154691,4368845,1393,992.2455301713928,992.3156360398978,992.3203629106283,992.2171390610224,992.3203125,0,0.7974679223088954,3.1386143822518155,34.61335430466596,0.23405784890670497,11913.265439753955,predictive-online,1.0,14.0,24274,7200,causal-eviction-eval-window-v2
Planner-LRU,992.3203690379604,0,13732173,7880440023.0,1230178.0,0.9998439191226444,1.7425642425957208,1.742292261639888,1.3270196803070067,3926915,17659088,13774176,1393,992.2376284052876,992.3153865488246,992.3203688263893,992.2296015982896,992.3203125,0,0.7974695211990196,3.1386143822518155,34.61335430466596,0.2346066818287728,11913.265439753955,non-predictive,1.0,14.0,24274,7200,causal-eviction-eval-window-v2
