policy,total_capacity_gb,request_seed,cold_events,served_requests,rejected_requests,service_completion_rate,cold_ratio_per_1k,cold_ratio_per_1k_all_requests,cold_slo_per_1k,prewarm_attempts,total_inits,capacity_evictions,blocked_minutes,mean_total_mem_gb,p95_total_mem_gb,max_total_mem_gb,mean_warm_set_mem_gb,max_warm_set_mem_gb,capacity_violations,mean_latency_s,p95_latency_s,p99_latency_s,slo_violation_rate,cand_k_mean,family,capacity_frac_of_reference,ndays,n_apps,eval_start,protocol_version
Planner-Learned,73.80255858248721,0,258621,104503396.0,217873.0,0.997919496181812,2.4747616814289937,2.4696129303016754,1.729819383094498,279216,537837,334490,1290,73.76597891524435,73.80075132362545,73.80254920572042,73.70715201165942,73.80252075195312,0,0.34750330078198827,1.810632860643372,28.337935703669302,0.08537730023259135,1500.0263980548802,predictive-learned,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
BALM-JIT (ours),73.80255858248721,0,241386,104503396.0,217873.0,0.997919496181812,2.309838811362647,2.305033182896208,1.6143781585815642,259664,501050,296581,1290,73.76363475629024,73.80081216618419,73.80254330486059,73.69263325267367,73.80252838134766,0,0.3475031138680279,1.810632860643372,28.337935703669302,0.08531476341312921,1500.0263980548802,predictive-online,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
Planner-LRU,73.80255858248721,0,330418,104503396.0,217873.0,0.997919496181812,3.1617919861666506,3.1552138658671143,2.3777887562620452,114151,444569,340222,1290,73.76489174893747,73.80087194703519,73.80254458636045,73.7087780793508,73.8025131225586,0,0.34750459801534633,1.810632860643372,28.337935703669302,0.08586893258343876,1500.0263980548802,non-predictive,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
Planner-Popularity,73.80255858248721,0,297325,104503396.0,217873.0,0.997919496181812,2.845122851318631,2.8392035623632483,2.1454422399823256,312467,609792,326606,1290,73.76461484096944,73.80082191973925,73.80254758149385,73.71512250900268,73.80252075195312,0,0.34750425342073527,1.810632860643372,28.337935703669302,0.0857039578475862,1500.0263980548802,non-predictive,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
Oracle knapsack,73.80255858248721,0,177863,104503396.0,217873.0,0.997919496181812,1.7019829671372593,1.6984419850756394,1.150996088203679,260620,438483,221366,1290,73.56248282896769,73.80075461231172,73.80254387110472,73.47673806614345,73.80250549316406,0,0.3475024615735725,1.810632860643372,28.337935703669302,0.08511061511858875,562.1423611111111,non-causal-upper-bound,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
TTL-20m,73.80255858248721,0,337388,104503396.0,217873.0,0.997919496181812,3.2284883832866065,3.221771500878203,2.4451167118052317,113377,450765,505959,1290,73.76490639794308,73.8008285123855,73.80254108458757,73.71436385136201,73.80252750217915,0,0.34750471088766643,1.810632860643372,28.337935703669302,0.08592872451653327,,lease-reference,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
Historic-TTL (ATC'20-style),73.80255858248721,0,337410,104503396.0,217873.0,0.997919496181812,3.2286989027610162,3.2219815823660425,2.445308093145605,113377,450787,505677,1290,73.76490638438716,73.8008285123855,73.80254108458757,73.67811603633584,73.80252750217915,0,0.3475047110316837,1.810632860643372,28.337935703669302,0.08592877705071139,,lease-reference,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
Planner-Learned,73.80255858248721,1,273789,104503890.0,217379.0,0.9979242134661298,2.6198929054219895,2.6144545670087327,1.7956652139934695,283849,557638,346451,1290,73.76410913594171,73.80086603201926,73.80255255103111,73.70174193912082,73.8021240234375,0,0.34755040619686295,1.810632860643372,28.337935703669302,0.08543464818019483,1500.0263980548802,predictive-learned,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
BALM-JIT (ours),73.80255858248721,1,250445,104503890.0,217379.0,0.9979242134661298,2.396513660879035,2.3915390100935463,1.6602252796522694,261551,511996,306007,1290,73.76349667647543,73.80087930448353,73.8025419935584,73.6890040980445,73.80255126953125,0,0.34755020062924885,1.810632860643372,28.337935703669302,0.08537190707057517,1500.0263980548802,predictive-online,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
Planner-LRU,73.80255858248721,1,330607,104503890.0,217379.0,0.9979242134661298,3.1635855851873074,3.1570186568308296,2.458224282368819,114033,444640,340144,1290,73.7633383720958,73.80089767687022,73.80254485458136,73.7087780793508,73.8025131225586,0,0.34755162178572563,1.810632860643372,28.337935703669302,0.0859451474569778,1500.0263980548802,non-predictive,0.6,2.0,3000,1440,causal-eviction-eval-window-v2
