policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,budget_gb,seed,full_warm_gb,n_apps,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit
Scale-to-zero,90613408,12495810846.0,90613408,7.251502852974604,1.0,0.8380166614480816,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2345627892007918,0.0,0.0,0.0,0.0,720.3181693788558,720.3181693788558,242026.90491129557,24274,1.0,67879273.0,5.43216233316533,0.0088913738747233,266.6386374604221,0,0.0,0,0.0,0,90613408,7.251502852974604,,0.0,0.0,0.0,,,,-1,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
TTL-1m,28408559,12495810846.0,90613408,2.2734466254419803,0.3135138565806949,0.8380104943806335,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2323135824400642,720.2892229837084,1069.167706298828,1450.2216796875,242017.17892252604,212.1742453858966,932.463468369605,71290.54644966125,24274,1.0,21421427.0,1.7142886735403131,0.002724306426595,83.5949075436387,0,0.0,0,0.0,90609887,28408559,2.2734466254419803,,0.0,0.0,0.0,,,,-1,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
TTL-5m,4049058,12495810846.0,90613408,0.3240332340094707,0.0446849764220323,0.838008173883246,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2315178680573102,1297.6705992078023,1517.0682128906249,1653.083740234375,436017.3213338216,32.68018385907487,1330.3507830668773,10980.541776649156,24274,1.0,3575146.0,0.2861075638916566,0.0004038090389498,11.9147412281218,0,0.0,0,0.0,167840753,4049058,0.3240332340094707,,0.0,0.0,0.0,,,,-1,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.83800787128188,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314371861988728,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,915260.0,0.0732453468830301,0.0001012076730766,2.9696706646735485,0,0.0,0,0.0,200186826,1009201,0.0807631463406036,,0.0,0.0,0.0,,,,-1,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
TTL-60m,271740,12495810846.0,90613408,0.0217464879509588,0.0029988939385217,0.8380077972670078,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231422435265742,1761.229388881865,1883.2857116699215,1934.23486328125,591773.0746643066,2.1131601246328846,1763.3425490064978,710.0218018766493,24274,1.0,241307.0,0.0193110317508722,2.7192800979865665e-05,0.7996209936557633,0,0.0,0,0.0,227187837,271740,0.0217464879509588,,0.0,0.0,0.0,,,,-1,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Historic-TTL,6464984,12495810846.0,90613408,0.5173721081148959,0.0713468805852661,0.8380084076224774,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2316106470871055,1476.1833256978837,1562.2218994140626,1667.09130859375,495997.59743448894,54.34929751394287,1530.5326232118266,18261.36396468481,24274,1.0,5230183.0,0.4185549112784641,0.0006375482705493,19.02383502630681,0,0.0,0,0.0,191644340,6464984,0.5173721081148959,,0.0,0.0,0.0,,,,-1,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-LRU,84988361,12495810846.0,90613408,6.801348231611988,0.9379225754316624,0.8380161030476057,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2343581902409,63.89315435224109,63.99179515838623,64.0,21468.099862353007,673.698952895876,737.5921072481171,226362.84817301432,24274,1.0,63670831.0,5.0953741045449235,0.0083329733986685,250.08639755646843,6997085,0.5599544588368843,2226075,0.3181431982032517,925023,91985446,7.361302690448872,0.998330536753767,11913.265439753955,12790.0,13109.0,,,,64,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,84411428,12495810846.0,90613408,6.755178118514872,0.9315556037799616,0.8380160063664708,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2342920713278738,63.901794934272765,63.99119606018066,64.0,21471.00309791565,667.1623791225372,731.06417405681,224166.55938517253,24274,1.0,63349607.0,5.06966756945418,0.0082362922640432,248.3887169105098,172791,0.0138279141809602,24391,0.1411589724001828,7310953,84584219,6.769006032695831,0.998465545848012,11913.265439753955,12790.0,13109.0,,,,64,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),81016070,12495810846.0,90613408,6.483458416460732,0.8940847915134149,0.8380146376339814,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2339681364316793,63.92593017759777,63.99343147277832,63.99998092651367,21479.112539672853,658.6708808036078,722.5968109812056,221313.41595001225,24274,1.0,58281970.0,4.6641206975901435,0.0068675597744821,238.39755058322248,3642728,0.2915159364120868,159940,0.043906654573166,6302201,84658798,6.774974352872819,0.9988426590249652,11913.265439753955,12790.0,13109.0,0.0007863341557365,0.0419508737234939,0.376537039851987,64,0,3831.79296875,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Oracle knapsack,80743841,12495810846.0,90613408,6.4616727953950015,0.8910805010225419,0.8380145140561543,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2339717680544683,63.928984627837224,63.993580436706544,63.99999237060547,21480.138834953308,656.3891852363707,720.3181698642079,220546.76623942057,22812,0.9397709483397876,58009706.0,4.642332275585728,0.0067439819474488,237.5964906602008,3909721,0.3128825370505292,0,0.0,5959846,84653562,6.774555332445531,0.9988903848099566,4494.712698412698,6832.0,9355.0,0.0007989379706812,,,64,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
