policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,budget_gb,seed,full_warm_gb,n_apps
Scale-to-zero,90613408,12495810846.0,90613408,7.251502852974604,1.0,0.8380166614480816,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2345627892007918,0.0,0.0,0.0,0.0,720.3181693788558,720.3181693788558,242026.90491129557,24274,1.0,67879273.0,5.43216233316533,0.0088913738747233,266.6386374604221,-1,0,3831.793,24274
TTL-1m,28408559,12495810846.0,90613408,2.2734466254419803,0.3135138565806949,0.8380104943806335,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2323135824400642,720.2892229837084,1069.167706298828,1450.2216796875,242017.17892252604,212.1742453858966,932.463468369605,71290.54644966125,24274,1.0,21421427.0,1.7142886735403131,0.002724306426595,83.5949075436387,-1,0,3831.793,24274
TTL-5m,4049058,12495810846.0,90613408,0.3240332340094707,0.0446849764220323,0.838008173883246,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2315178680573102,1297.6705992078023,1517.0682128906249,1653.083740234375,436017.3213338216,32.68018385907487,1330.3507830668773,10980.541776649156,24274,1.0,3575146.0,0.2861075638916566,0.0004038090389498,11.9147412281218,-1,0,3831.793,24274
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.83800787128188,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314371861988728,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,915260.0,0.0732453468830301,0.0001012076730766,2.9696706646735485,-1,0,3831.793,24274
TTL-60m,271740,12495810846.0,90613408,0.0217464879509588,0.0029988939385217,0.8380077972670078,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231422435265742,1761.229388881865,1883.2857116699215,1934.23486328125,591773.0746643066,2.1131601246328846,1763.3425490064978,710.0218018766493,24274,1.0,241307.0,0.0193110317508722,2.7192800979865665e-05,0.7996209936557633,-1,0,3831.793,24274
Historic-TTL,6464984,12495810846.0,90613408,0.5173721081148959,0.0713468805852661,0.8380084076224774,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2316106470871055,1476.1833256978837,1562.2218994140626,1667.09130859375,495997.59743448894,54.34929751394287,1530.5326232118266,18261.36396468481,24274,1.0,5230183.0,0.4185549112784641,0.0006375482705493,19.02383502630681,-1,0,3831.793,24274
Planner-LRU,84988361,12495810846.0,90613408,6.801348231611988,0.9379225754316624,0.8380161030476057,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2343581902409,63.89315435224109,63.99179515838623,64.0,21468.099862353007,673.698952895876,737.5921072481171,226362.84817301432,24274,1.0,63670831.0,5.0953741045449235,0.0083329733986685,250.08639755646843,64,0,3831.793,24274
Planner-Popularity,84411428,12495810846.0,90613408,6.755178118514872,0.9315556037799616,0.8380160063664708,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2342920713278738,63.901794934272765,63.99119606018066,64.0,21471.00309791565,667.1623791225372,731.06417405681,224166.55938517253,24274,1.0,63349607.0,5.06966756945418,0.0082362922640432,248.3887169105098,64,0,3831.79296875,24274
BALM-JIT (ours),80968178,12495810846.0,90613408,6.479625772017708,0.8935562604598207,0.8380146646892531,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2339562578434912,63.92192364817574,63.99350414276123,64.00003814697266,21477.766345787048,658.4437093492538,722.3656329974295,221237.0863413493,24274,1.0,58234043.0,4.660285252208435,0.0068946150461484,238.25662378323665,64,0,3831.79296875,24274
Oracle knapsack,80743840,12495810846.0,90613408,6.4616727153681826,0.8910804899866475,0.8380145140560026,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2339717679752417,63.92899094119905,63.993591690063475,64.00000762939453,21480.14095624288,656.3891789209275,720.3181698621265,220546.76411743165,22812,0.9397709483397876,58009705.0,4.642332195558908,0.0067439817955815,237.59648771760496,64,0,3831.79296875,24274
Planner-LRU,79245259,12495810846.0,90613408,6.341746044064598,0.874542308352424,0.8380155357834017,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2341497389267222,127.89084393145546,127.99208068847656,127.99996948242188,42971.32356096904,626.7145072679671,754.6053511994226,210576.07444203697,24274,1.0,59385519.0,4.752434214303887,0.0077657091948459,233.18676950058264,128,0,3831.79296875,24274
Planner-Popularity,78436753,12495810846.0,90613408,6.277043880278339,0.8656197215317186,0.8380153994762185,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2340493626623169,127.90445321363116,127.99229431152344,128.00006103515625,42975.89627978007,620.1594758608985,748.0639290745297,208373.58388926188,24274,1.0,59188087.0,4.736634359261811,0.007629402011501,230.8076631080874,128,0,3831.79296875,24274
BALM-JIT (ours),71901195,12495810846.0,90613408,5.754023959398849,0.793493993736556,0.8380134510032847,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2334077815794216,127.91213492817349,127.9925308227539,128.00010681152344,42978.47733586629,597.561872311244,725.4740072394175,200780.78909657797,24274,1.0,49217803.0,3.938744240495203,0.0056809290777658,211.576157322944,128,0,3831.79296875,24274
Oracle knapsack,71315465,12495810846.0,90613408,5.707149850369942,0.787029939322004,0.8380131856314772,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2334171582573514,127.9263306000876,127.99334754943848,128.00001525878906,42983.24708162944,592.3918389850193,720.3181695851068,199043.65789896648,21390,0.8811897503501689,48582131.0,3.887873432043147,0.0054155572703521,209.85259066137783,128,0,3831.79296875,24274
Planner-LRU,67812193,12495810846.0,90613408,5.426794134108326,0.748368199549453,0.838014403929,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2337291558401325,255.87701675626963,255.99182205200196,256.0001525878906,85974.67763010661,532.944399632348,788.8214163886176,179069.31827646893,24274,1.0,50828008.0,4.0676038255068825,0.006633854793034,199.54387704657543,256,0,3831.79296875,24274
Planner-Popularity,67909650,12495810846.0,90613408,5.434593307863521,0.7494437247079373,0.8380143676422012,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2336539280022113,255.90037860643295,255.9927215576172,256.000244140625,85982.52721176148,536.8959523170713,792.7963309235042,180397.03997853596,24274,1.0,51449268.0,4.117321287435243,0.0065975679941666,199.8306536093881,256,0,3831.79296875,24274
BALM-JIT (ours),55314252,12495810846.0,90613408,4.4266236646585035,0.6104422427197529,0.8380117028349815,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2326282055690479,255.8927361601875,255.99240112304688,256.00018310546875,85979.959349823,477.5381757160974,733.4309118762849,160452.8270406087,24274,1.0,34875464.0,2.7909724650772776,0.003932760774588,162.76748784707917,256,0,3831.79296875,24274
Oracle knapsack,53623470,12495810846.0,90613408,4.291315758606034,0.5917829511500108,0.8380112526491051,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.23252943605868,255.9178287566654,255.99263076782228,256.0,85988.39046223958,464.40033985168213,720.3181686083476,156038.5141901652,18565,0.764810084864464,32210482.0,2.5777024313961037,0.003482574898288,157.7921997669464,256,0,3831.79296875,24274
Planner-LRU,44846312,12495810846.0,90613408,3.5889077189701246,0.4949191625151103,0.8380121314145637,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2329047443684211,511.852914454445,511.9923706054687,512.0007934570312,171982.5792566935,345.396739211915,857.24965366636,116053.30437520346,24274,1.0,33686521.0,2.695825138132857,0.0043613403567859,131.96457114608222,512,0,3831.79296875,24274
Planner-Popularity,50872793,12495810846.0,90613408,4.071187826621491,0.5614267703075465,0.8380127191764127,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2330838607475558,511.8917591897268,511.99310302734375,512.0009765625,171995.63108774822,405.13579967665294,917.0275588663798,136125.62869135538,24274,1.0,38501313.0,3.0811376288017795,0.0049491022058717,149.69806906860956,512,0,3831.79296875,24274
BALM-JIT (ours),26818381,12495810846.0,90613408,2.146189737545904,0.29596482012904757,0.8380095407149784,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23191255728917692,511.8485561204335,511.9918212890625,512.0007934570312,171981.11485646566,251.19481343428293,763.0433695547165,84401.45731391906,24274,1.0,16945474.0,1.3560923903889253,0.0017706407715180048,78.91565637542816,512,0,3831.79296875,24274
Oracle knapsack,21411352,12495810846.0,90613408,1.7134824033331082,0.23629341918140856,0.8380088522547918,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23168244857245798,511.8938710818215,511.9913040161133,512.0005493164062,171996.34068349202,208.42429972759314,720.3181708094146,70030.5647084713,13332,0.5492296284089973,11164947.0,0.8934951991189897,0.001082180584889719,63.004955331395145,512,0,3831.79296875,24274
