policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_per_app_p50,cold_per_app_p90,cold_per_app_p99,cold_per_app_max,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,part,budget_gb,seed,full_warm_gb,n_apps,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit
Planner-LRU,5574002,206386695.0,10951107,27.00756461069353,0.5089898217595719,2.6865934128587012,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.29903048392655424,255.85052649653147,255.9920654296875,256.0001220703125,85965.77690283458,43.233012358726015,299.0835388552575,14526.292152531942,15655,1.0,44.0,1344.0,2676.9199999999983,3620.0,4739985.0,22.966524077533197,0.03351708988459281,25.432321941871606,6241956,30.243984477778476,5536905,0.8870464642813887,27621425,11815958,57.251549088472004,0.9994161191270761,5639.553995733915,6431.0,6701.0,,,,64828.9901722357,0.31411419312778716,27.321678803821317,lowfreq,256,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,7443257,206386695.0,10951107,36.064616471522065,0.6796807847827622,2.686604447553314,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.3028130550466509,255.91539836156937,255.99337768554688,256.0002136230469,85987.57384948731,58.715032281702946,314.63043064327235,19728.25084665219,15655,1.0,28.0,1662.6000000000004,4031.0,4032.0,6008433.0,29.112501656175073,0.044551784497494896,33.96111237851896,268380,1.3003745226890717,202780,0.7555704597958119,35864046,7711637,37.364990994211134,0.9996695248498804,5639.553995733915,6431.0,6701.0,,,,8509.912950962973,0.04123285636684561,36.105849327888905,lowfreq,256,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),1372394,206386695.0,10951107,6.649624385913055,0.12532011603941046,2.6865658734405455,0.25751023460038874,23.20025366154826,57.07322071880443,57.07322071880443,0.2914773655797198,255.8901972089495,255.9918212890625,255.99998474121094,85979.10626220703,12.068497680830918,267.9586948897804,4055.015220759188,15655,1.0,18.0,262.0,792.9199999999983,3299.0,1082328.0,5.244175260425582,0.005977671728956445,6.261778528083224,13315736,64.51838380376215,8179715,0.6142893641027428,19790874,14688130,71.1680081896752,0.999571082847459,5639.553995733915,6431.0,6701.0,6.346308775746546e-05,0.02474834246008711,0.09483342926713603,174238.31422285,0.844232300065903,7.493856685978958,lowfreq,256,0,2473.5298,15655,95430507.0,871555.0,5506834.0,718389.0,2043781.0,465580.0,1029215.0,342561.0,948675.0,429418.0,605355.0,323503.0,454192.0,298674.0,600303.0,458044.0,892976.0,764042.0,6175931.0,6109635.0
Oracle knapsack,771679,206386695.0,10951107,3.738995868895522,0.07046584422926376,2.6865622058018803,0.25751023460038874,23.20025366154826,57.07322071880443,57.07322071880443,0.29050413447950274,76.9373828758796,255.90927200317384,255.9999237060547,25850.96064629555,7.025365475987986,83.96274835186759,2360.522799931963,5866,0.37470456723091666,0.0,112.60000000000036,754.0,1992.0,532430.0,2.57976901078822,0.002310033063892178,3.5209152712506273,8671744,42.01697207273947,0,0.0,1507684,9443423,45.755967941635,0.3005366518589047,543.2096726190476,1867.0,3726.0,5.48570696917379e-05,,,369716.7957126777,1.7913790213689778,5.5303748902645,lowfreq,256,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
TTL-20m,938717,206386695.0,10951107,4.548340676708835,0.08571891407873194,2.6865655684502627,0.25751023460038874,23.20025366154826,57.07322071880443,57.07322071880443,0.2911862828610237,582.6522157956683,742.8914154052734,804.63525390625,195771.14450734455,7.165747468571164,589.8179632642394,2407.691149439911,15655,1.0,14.0,187.0,671.0,708.0,860200.0,4.167904331236081,0.005672681446077908,4.283054250125473,0,0.0,0,0.0,75706097,938717,4.548340676708835,,0.0,0.0,0.0,,,,0.0,0.0,4.548340676708835,lowfreq,256,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
Planner-LRU,1572722,206386695.0,10951107,7.620268351116335,0.14361306121837727,2.6865693963916986,0.25751023460038874,23.20025366154826,57.07322071880443,57.07322071880443,0.292237951042672,511.6932828292014,511.99200439453125,512.0007934570312,171928.94303061167,12.251492847714367,523.9447756769158,4116.501596832027,15655,1.0,26.0,336.0,632.4599999999991,799.0,1413109.0,6.846899699614842,0.009500622882404561,7.1758087329470275,2473695,11.985729021921689,2230000,0.9014854296912109,64097234,4046417,19.605997373038026,0.999400943025784,5639.553995733915,6431.0,6701.0,,,,29988.43108560359,0.14530215276524291,7.7655705038815785,lowfreq,512,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,3548456,206386695.0,10951107,17.193240097187466,0.3240271508624653,2.68658193465676,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.29582667492604137,511.8978879292806,511.9929504394531,512.0009765625,171997.69034423828,33.850985329834714,545.7488732591153,11373.931070824465,15655,1.0,15.0,493.60000000000036,3983.0,4032.0,3006064.0,14.565202471021692,0.02203888794329724,16.190427522014875,230955,1.1190401590567647,182331,0.7894654802883678,75520629,3779411,18.312280256244232,0.9998005623618762,5639.553995733915,6431.0,6701.0,,,,6745.517114671694,0.032683875841277917,17.225923973028745,lowfreq,512,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),325005,206386695.0,10951107,1.5747381390064896,0.029677821612006897,2.686561723566033,0.25751023460038874,23.20025366154826,57.07322071880443,57.07322071880443,0.2904759790300994,511.8908102156624,511.9925231933594,512.0,171995.31223246257,2.6289572463503905,514.5197674620127,883.3296347737312,15655,1.0,12.0,58.0,117.0,418.0,284673.0,1.3793185650848276,0.001827797216110188,1.4828899940685312,10495391,50.85304069625224,7834214,0.7464432720991528,56603769,10820396,52.427778835258735,0.9997867387024656,5639.553995733915,6431.0,6701.0,2.4119545372168443e-06,0.02474834246008711,0.09483342926713603,72790.78768336023,0.35269128023664625,1.9274294192431358,lowfreq,512,0,2473.5298,15655,95430507.0,871555.0,5506834.0,718389.0,2043781.0,465580.0,1029215.0,342561.0,948675.0,429418.0,605355.0,323503.0,454192.0,298674.0,600303.0,458044.0,892976.0,764042.0,6175931.0,6109635.0
Oracle knapsack,5556,206386695.0,10951107,0.02692033999575409,0.0005073459696814213,2.6865599069504498,0.25751023460038874,23.20025366154826,57.07322071880443,57.07322071880443,0.29000963937532354,83.88896059833822,281.8096954345703,511.9955749511719,28186.690761041642,0.0737877162084693,83.96274831454669,24.792672646045684,430,0.02746726285531779,0.0,0.0,15.459999999999127,73.0,3815.0,0.018484718697588526,1.118163325117136e-05,0.02535018478806406,9363275,45.36762895495759,0,0.0,1582276,9368831,45.394549294953336,0.16384562616862933,543.2096726190476,1867.0,3726.0,1.8113812335741314e-06,,,383165.3153899325,1.8565407784156458,1.8834611184113998,lowfreq,512,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
TTL-20m,938717,206386695.0,10951107,4.548340676708835,0.08571891407873194,2.6865655684502627,0.25751023460038874,23.20025366154826,57.07322071880443,57.07322071880443,0.2911862828610237,582.6522157956683,742.8914154052734,804.63525390625,195771.14450734455,7.165747468571164,589.8179632642394,2407.691149439911,15655,1.0,14.0,187.0,671.0,708.0,860200.0,4.167904331236081,0.005672681446077908,4.283054250125473,0,0.0,0,0.0,75706097,938717,4.548340676708835,,0.0,0.0,0.0,,,,0.0,0.0,4.548340676708835,lowfreq,512,0,2473.5298,15655,,,,,,,,,,,,,,,,,,,,
