policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_per_app_p50,cold_per_app_p90,cold_per_app_p99,cold_per_app_max,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,budget_gb,seed,full_warm_gb,n_apps,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit
Planner-Learned,57611265,12495810846.0,90613408,4.610446309567961,0.6357918355747088,0.8380116653002063,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.2326990201109102,255.90752824071853,255.99264526367188,256.0,85984.92948888143,494.2476824563647,750.1552106970832,166067.22130533855,24274,1.0,84.0,7923.900000000005,20158.0,20160.0,35728548.0,2.859242064426493,0.003895225999475738,169.52666874610105,12003812,0.9606268971206865,2413403,0.2010530488148265,25861600,69615077,5.571073206688648,0.9996387821903068,17196.800535740862,18396.0,18449.0,0.00019288725788865193,,,982361.333948916,0.07861525322811501,4.689061562796076,256,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),55508370,12495810846.0,90613408,4.4421583108205125,0.6125845084647958,0.8380116052633368,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.2326238332630905,255.9058422323257,255.99237060546875,256.0,85984.36299006145,478.98156583119953,734.8874080635253,160937.80611928305,24274,1.0,114.5,7104.700000000001,20158.0,20160.0,34588415.0,2.768000846545465,0.00383518912989324,163.33869866641558,12734187,1.019076485466832,763701,0.05997249765532735,24423920,68242557,5.461234796287345,0.9996321962200223,11913.265439753955,12790.0,13109.0,0.0001885164670372001,0.04195087372349391,0.37653703985198705,1218668.9151395373,0.09752619739195573,4.539684508212468,256,0,3831.793,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Planner-LRU,67812193,12495810846.0,90613408,5.426794134108326,0.748368199549453,0.838014403929,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23372915584013254,255.87701675626965,255.99182205200196,256.0001525878906,85974.67763010661,532.944399632348,788.8214163886176,179069.31827646893,24274,1.0,336.0,9579.400000000001,20069.27,20160.0,50828008.0,4.0676038255068825,0.006633854793034051,199.54387704657543,19656872,1.5730769489274326,8251487,0.4197761983697101,12299560,87469065,6.9998710830357584,0.9995195967041783,11913.265439753955,12790.0,13109.0,,,,2568838.7982393666,0.20557599902063742,5.632370133128964,256,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
Oracle knapsack,53623467,12495810846.0,90613408,4.291315518525575,0.5917829180423276,0.838011252648861,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23252943599865994,255.9178495573619,255.99267578125,256.0,85988.3974512736,464.40031905552695,720.3181686128888,156038.50720265706,18565,0.764810084864464,39.0,6753.100000000002,20159.0,20160.0,32210479.0,2.5777021913156446,0.0034825746540851155,157.7921909391589,14385922,1.1512595842954072,0,0.0,22604019,68009389,5.442575102820983,0.9996790998334449,4494.712698412698,6832.0,9355.0,0.00019147358399660173,,,1462464.9786277714,0.1170364209775084,4.408351939503083,256,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
Planner-Learned,14189144,12495810846.0,90613408,1.1355120667933323,0.15658989451097569,0.8380084347569772,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23156459015372388,767.8686479780409,767.992431640625,768.0,258003.86572062175,145.61944416478306,913.488092142824,48928.13323936711,24274,1.0,10.0,1346.0,11377.720000000016,19954.0,7247331.0,0.5799808503279259,0.000664682770310743,41.752916112477784,25540738,2.043944031705296,12395396,0.4853186309651663,80076054,39729882,3.179456098498628,0.9998289687214074,17196.800535740862,18396.0,18449.0,4.6242638331774146e-05,,,881508.587536918,0.07054432868748932,1.2060563954808217,768,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),8945381,12495810846.0,90613408,0.7158703913050574,0.09872027989500186,0.8380082961814889,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23154935893048698,767.8507395941114,767.9912109375,768.0,257997.8485036214,88.93809331559709,856.7888329097084,29883.199354040622,24274,1.0,25.0,1041.7000000000007,4251.050000000007,19902.0,5643653.0,0.45164360036760437,0.0005261072818846659,26.322640920914797,24988004,1.9997104876150427,5559387,0.22248223587606278,74314033,33933385,2.7155808789201004,0.9998056505131657,11913.265439753955,12790.0,13109.0,3.205129633911732e-05,0.04195087372349391,0.37653703985198705,990241.1723966694,0.07924585163784331,0.7951162429429007,768,0,3831.793,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Planner-LRU,27087912,12495810846.0,90613408,2.1677594462524246,0.29893933577688636,0.8380103862720125,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23228390657638706,767.8218851755536,767.9924926757812,768.001708984375,257988.153418986,202.96598892013233,970.7878740956859,68196.57227716447,24274,1.0,143.0,4031.0,6065.27,7643.0,20456081.0,1.6370351033721144,0.00261619780557859,79.70877717487258,24352393,1.94884456079898,18536978,0.7611973903344941,73107572,51440305,4.116604007051404,0.9997680796556688,11913.265439753955,12790.0,13109.0,,,,945306.2889048427,0.07564985582407739,2.243409302076502,768,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
Oracle knapsack,5052701,12495810846.0,90613408,0.40435159128688364,0.0557610745641528,0.838008001317774,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314657789278778,669.9240995770409,767.9589233398438,768.0,225094.49745788574,50.39407003288941,720.3181696099304,16932.40753105084,8490,0.3497569415835874,0.0,515.0,3645.5900000000074,4529.0,2649986.0,0.21206995149484675,0.00023124356705039807,14.868056945114702,28263113,2.2618070446422633,0,0.0,57297594,33315814,2.666158635929147,0.8722970046576053,4494.712698412698,6832.0,9355.0,1.553789584209733e-05,,,1575932.9586720904,0.126116902543908,0.5304684938307916,768,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
Planner-Learned,5249056,12495810846.0,90613408,0.4200652574442787,0.057928027604921335,0.8380079841317761,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23146039215863576,1023.8552971158709,1023.9923706054688,1024.0,344015.3798309326,61.131209867568835,1084.9865069834398,20540.086515503128,24274,1.0,3.0,206.0,5566.810000000001,19127.0,2662366.0,0.21306068352116925,0.00021405756919385736,15.445850351345943,25621318,2.0503925928265447,17307143,0.6754977632298229,112814308,30870374,2.4704578502708237,0.9998586885897177,17196.800535740862,18396.0,18449.0,2.6190571461008924e-05,,,475213.8033715878,0.03802984930135264,0.4580951067456313,1024,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,14.0,274.0,1267.5400000000009,5575.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,505747.1655252823,0.040473337165404966,0.2341576870509298,1024,0,3831.793,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
