policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_per_app_p50,cold_per_app_p90,cold_per_app_p99,cold_per_app_max,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit,part,budget_gb,seed,init_s,full_warm_gb,n_apps
BALM-JIT (hazard),8945381,12495810846.0,90613408,0.7158703913050574,0.09872027989500186,0.8380082961814889,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23154935893048698,767.8507395941114,767.9912109375,768.0,257997.8485036214,88.93809331559709,856.7888329097084,29883.199354040622,24274,1.0,25.0,1041.7000000000007,4251.050000000007,19902.0,5643653.0,0.45164360036760437,0.0005261072818846659,26.322640920914797,24988004,1.9997104876150427,5559387,0.22248223587606278,74314033,33933385,2.7155808789201004,0.9998056505131657,11913.265439753955,12790.0,13109.0,3.205129633911732e-05,0.04195087372349391,0.37653703985198705,676590.0900437525,0.05414535306128885,0.7700157443663463,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,768,0,0.5,3831.793,24274
BALM-JIT (hazard),8945381,12495810846.0,90613408,0.7158703913050574,0.09872027989500186,0.8380082961814889,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23154935893048698,767.8507395941114,767.9912109375,768.0,257997.8485036214,88.93809331559709,856.7888329097084,29883.199354040622,24274,1.0,25.0,1041.7000000000007,4251.050000000007,19902.0,5643653.0,0.45164360036760437,0.0005261072818846659,26.322640920914797,24988004,1.9997104876150427,5559387,0.22248223587606278,74314033,33933385,2.7155808789201004,0.9998056505131657,11913.265439753955,12790.0,13109.0,3.205129633911732e-05,0.04195087372349391,0.37653703985198705,1044349.5038375405,0.0835759693154962,0.7994463606205536,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,768,0,1.0,3831.793,24274
BALM-JIT (hazard),8945381,12495810846.0,90613408,0.7158703913050574,0.09872027989500186,0.8380082961814889,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23154935893048698,767.8507395941114,767.9912109375,768.0,257997.8485036214,88.93809331559709,856.7888329097084,29883.199354040622,24274,1.0,25.0,1041.7000000000007,4251.050000000007,19902.0,5643653.0,0.45164360036760437,0.0005261072818846659,26.322640920914797,24988004,1.9997104876150427,5559387,0.22248223587606278,74314033,33933385,2.7155808789201004,0.9998056505131657,11913.265439753955,12790.0,13109.0,3.205129633911732e-05,0.04195087372349391,0.37653703985198705,1632494.4483762323,0.13064333867528138,0.8465137299803388,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,768,0,2.0,3831.793,24274
BALM-JIT (hazard),8945381,12495810846.0,90613408,0.7158703913050574,0.09872027989500186,0.8380082961814889,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23154935893048698,767.8507395941114,767.9912109375,768.0,257997.8485036214,88.93809331559709,856.7888329097084,29883.199354040622,24274,1.0,25.0,1041.7000000000007,4251.050000000007,19902.0,5643653.0,0.45164360036760437,0.0005261072818846659,26.322640920914797,24988004,1.9997104876150427,5559387,0.22248223587606278,74314033,33933385,2.7155808789201004,0.9998056505131657,11913.265439753955,12790.0,13109.0,3.205129633911732e-05,0.04195087372349391,0.37653703985198705,3037558.359889731,0.24308613481149768,0.958956526116555,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,768,0,5.0,3831.793,24274
Planner-LRU,27087912,12495810846.0,90613408,2.1677594462524246,0.29893933577688636,0.8380103862720125,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23228390657638706,767.8218851755536,767.9924926757812,768.001708984375,257988.153418986,202.96598892013233,970.7878740956859,68196.57227716447,24274,1.0,143.0,4031.0,6065.27,7643.0,20456081.0,1.6370351033721144,0.00261619780557859,79.70877717487258,24352393,1.94884456079898,18536978,0.7611973903344941,73107572,51440305,4.116604007051404,0.9997680796556688,11913.265439753955,12790.0,13109.0,,,,888530.8304796958,0.07110629645647373,2.2388657427088985,,,,,,,,,,,,,,,,,,,,,subminute,768,0,1.0,3831.793,24274
TTL-20m,1009201,12495810846.0,90613408,0.08076314634060362,0.01113743564307834,0.83800787128188,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.2314371861988728,1552.8695860847595,1723.9231567382812,1801.6561279296875,521764.18092447915,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,4.0,113.0,640.8100000000013,708.0,915260.0,0.07324534688303012,0.00010120767307660644,2.9696706646735485,0,0.0,0,0.0,200186826,1009201,0.08076314634060362,,0.0,0.0,0.0,,,,0.0,0.0,0.08076314634060362,,,,,,,,,,,,,,,,,,,,,subminute,768,0,1.0,3831.793,24274
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,14.0,274.0,1267.5400000000009,5575.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,296945.0602368209,0.023763568758875312,0.21744791864440013,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,1024,0,0.5,3831.793,24274
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,14.0,274.0,1267.5400000000009,5575.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,505452.92278910434,0.040449789855045985,0.23413413974057082,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,1024,0,1.0,3831.793,24274
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,14.0,274.0,1267.5400000000009,5575.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,870893.5881916862,0.06969484405011345,0.2633791939356383,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,1024,0,2.0,3831.793,24274
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,14.0,274.0,1267.5400000000009,5575.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,1832302.3857772534,0.14663333243106724,0.3403176823165921,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,subminute,1024,0,5.0,3831.793,24274
