policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,part,budget_gb,seed,full_warm_gb,n_apps,cold_median_s
BALM-JIT (full),2831252,12495810846.0,90613408,0.2265760929716941,0.031245398032044,0.8380079847727939,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231475553714036,1023.7432591847012,1023.9915771484376,1024.0006103515625,343977.73508605955,26.343514315547452,1050.0867735002485,8851.420810023943,24274,1.0,2141387.0,0.1713683910864794,0.0002146985871936,8.331230358172766,ablation,1024,0,3831.793,24274,
- no per-app gap model,13301729,12495810846.0,90613408,1.0644950667013322,0.1467964763007258,0.8380087225334102,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2316707723290634,1023.749649686662,1023.9921875,1024.001953125,343979.8822947184,113.80409172981504,1137.5537414164771,38238.17482121786,24274,1.0,8745689.0,0.6998896756507449,0.000952459203278,39.14161242481668,ablation,1024,0,3831.793,24274,
- no memory awareness,3156037,12495810846.0,90613408,0.2525676035669402,0.0348296909878944,0.8380080003610998,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314808329480966,1023.7494528634209,1023.991943359375,1024.002197265625,343979.8161621094,25.375351962716216,1049.124804826137,8526.118259472649,24274,1.0,2296484.0,0.1837803107219025,0.0002302868927933,9.28694134817971,ablation,1024,0,3831.793,24274,
- coarse gap bins (<=15min),3121019,12495810846.0,90613408,0.2497652243991081,0.0344432360385341,0.8380080288160789,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314819939323457,1023.7454561748202,1023.991455078125,1024.0003662109375,343978.4732747396,27.842414701280617,1051.5878708761009,9355.051339630289,24274,1.0,2494827.0,0.1996530701966101,0.0002587418722101,9.183897527042456,ablation,1024,0,3831.793,24274,
- no global prior,2807975,12495810846.0,90613408,0.224713308692477,0.0309885155185863,0.8380079829999075,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314750284011837,1023.8514967570228,1023.9918212890624,1024.0009765625,344014.1029103597,26.114614087068254,1049.9661108440912,8774.510333254933,24274,1.0,2125653.0,0.1701092491073068,0.0002129257006652,8.26273555479702,ablation,1024,0,3831.793,24274,
BALM (season+momentum),15675467,12495810846.0,90613408,1.2544577693425818,0.1729927981519026,0.8380085205026406,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2315881294369413,1023.9087324959892,1023.991455078125,1024.0009765625,344033.33411865233,157.8824418399069,1181.791174335896,53048.50045820872,16974,0.6992667051165856,8280710.0,0.6626788851121826,0.0007504284336898,46.126563989689146,ablation,1024,0,3831.793,24274,
Planner-LRU,338034,12495810846.0,90613408,0.0270517859277781,0.0037305075204764,0.8380078036905624,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314237373357089,1776.3963692831614,1791.9880432128907,1792.003662109375,596869.1800791422,2.6265566526132353,1779.0229259357748,882.5230352780471,24274,1.0,301718.0,0.0241455319481394,3.3616355533185396e-05,0.9946974422956956,bigbudget,1792,0,3831.79296875,24274,
Planner-Popularity,1444424,12495810846.0,90613408,0.1155926588359306,0.0159405107023455,0.8380079252777206,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231450784842683,1777.3834488459995,1791.9835205078125,1792.0048828125,597200.8388122559,24.95413782707497,1802.3375866730744,8384.590309897188,24274,1.0,1261079.0,0.1009201416011895,0.0001552035136836,4.250356054096682,bigbudget,1792,0,3831.79296875,24274,
BALM-JIT (ours),264946,12495810846.0,90613408,0.0212027857387751,0.0029239160721115,0.8380077954424302,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231422561563271,1776.259107120453,1791.989013671875,1792.00341796875,596823.0599924723,2.0761569494599597,1778.3352640699134,697.5887350185463,24274,1.0,229152.0,0.0183383057589538,2.536822332003004e-05,0.7796289975164491,bigbudget,1792,0,3831.79296875,24274,
Oracle knapsack,0,12495810846.0,90613408,0.0,0.0,0.8380077700742069,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314157928148341,720.3181693788558,1069.167706298828,1450.2216796875,242026.90491129557,0.0,720.3181693788558,0.0,0,0.0,0.0,0.0,0.0,0.0,bigbudget,1792,0,3831.79296875,24274,
